block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id
b_6511,18217,1,1,TO ROCK ROAD TC,110973,1_merged_3090847,3061644
a_69246,18342,1,0,O'FALLON FAIRVIEW HGHTS - TO SHILOH SCOTT STA VIA ST. CLAIR SQUARE,111526,1_merged_3090844,3087768
a_69247,18342,1,0,O'FALLON FAIRVIEW HGHTS - TO SHILOH SCOTT STA VIA ST. CLAIR SQUARE,111526,1_merged_3090844,3087769
b_62571,18248,1,1,TO CIVIC CENTER TC,111077,3_merged_3090848,3065951
b_6514,18217,1,1,TO ROCK ROAD TC,110973,1_merged_3090847,3061640
b_67109,18274R,1,1,RED LINE TO LAMBERT AIRPORT TERMINAL #1,111223,1_merged_3090847,3069438
b_67103,18274B,1,1,BLUE LINE TO SHREWSBURY LANSDOWNE I-44,111219,1_merged_3090847,3069439
b_65491,18235,1,1,TO CIVIC CENTER TC,111032,1_merged_3090847,3063976
a_67109,18348R,1,0,RED LINE TO SHILOH SCOTT,111558,1_merged_3090844,3088363
b_67115,18274R,1,1,RED LINE TO LAMBERT AIRPORT TERMINAL #1,111223,1_merged_3090847,3069435
b_67108,18274B,1,1,BLUE LINE TO SHREWSBURY LANSDOWNE I-44,111219,1_merged_3090847,3069436
b_67113,18274R,1,1,RED LINE TO LAMBERT AIRPORT TERMINAL #1,111223,1_merged_3090847,3069437
b_67116,18274B,1,1,BLUE LINE TO SHREWSBURY LANSDOWNE I-44,111219,1_merged_3090847,3069430
b_67106,18274R,1,1,RED LINE TO LAMBERT AIRPORT TERMINAL #1,111223,1_merged_3090847,3069431
b_67114,18274B,1,1,BLUE LINE TO SHREWSBURY LANSDOWNE I-44,111219,1_merged_3090847,3069432
b_67101,18274R,1,1,RED LINE TO LAMBERT AIRPORT TERMINAL #1,111223,1_merged_3090847,3069433
a_67108,18348B,1,1,BLUE LINE TO SHREWSBURY LANSDOWNE I-44,111564,2_merged_3090846,3088659
a_65594,18322,1,0,TO CIVIC CENTER TC,111430,2_merged_3090846,3084949
a_65598,18322,1,0,TO CIVIC CENTER TC,111430,2_merged_3090846,3084948
a_67112,18348B,1,1,BLUE LINE TO SHREWSBURY LANSDOWNE I-44,111564,2_merged_3090846,3088658
a_65591,18322,1,0,TO CIVIC CENTER TC,111430,2_merged_3090846,3084945
a_65592,18322,1,0,TO CIVIC CENTER TC,111430,2_merged_3090846,3084944
a_65595,18322,1,0,TO CIVIC CENTER TC,111430,2_merged_3090846,3084947
a_65592,18322,1,0,TO CIVIC CENTER TC,111430,2_merged_3090846,3084946
a_65599,18322,1,0,TO GOODFELLOW ONLY,111431,2_merged_3090846,3084941
a_65596,18322,1,0,TO CIVIC CENTER TC,111430,2_merged_3090846,3084940
a_65591,18322,1,0,TO CIVIC CENTER TC,111430,2_merged_3090846,3084943
a_65591,18322,1,0,TO CIVIC CENTER TC,111432,2_merged_3090846,3084942
b_6548,18218,1,1,TO NORTH HANLEY  TC,110978,3_merged_3090848,3061886
b_65453,18243,1,0,TO CENTRAL WEST END TC,111054,1_merged_3090847,3064855
b_6544,18218,1,0,TO CIVIC CENTER TC,110976,1_merged_3090847,3061737
