stop_lat,wheelchair_boarding,zone_id,stop_lon,stop_id,stop_desc,stop_name,location_type,stop_code
38.671147,2,,-90.25566,2287,FAR SIDE KINGSHIGHWAY @ ST. LOUIS SB,KINGSHIGHWAY @ ST. LOUIS SB,0,2287
38.748865,1,,-90.21806,4549,NEAR SIDE CHAMBERS @ TOELLE WB,CHAMBERS @ TOELLE WB,0,4549
38.636691,1,,-90.230489,13439,MID-BLOCK 3450 LINDELL EB,3450 LINDELL EB,0,13439
38.77699,2,,-90.429409,16030,NEAR SIDE TAUSSIG @ FERGUSON WB,TAUSSIG @ FERGUSON WB,0,16030
38.644631,2,,-90.27111,13430,NEAR SIDE LINDELL @ LAKE EB,LINDELL @ LAKE EB,0,13430
38.642339,1,,-90.257563,13432,FAR SIDE LINDELL @ TAYLOR EB,LINDELL @ TAYLOR EB,0,13432
38.517099,2,,-90.001117,12144,NEAR SIDE MAIN @ 15TH STREET SB,MAIN @ 15TH STREET SB,0,12144
38.64094,1,,-90.25089,13434,NEAR SIDE LINDELL @ BOYLE EB,LINDELL @ BOYLE EB,0,13434
38.639927,1,,-90.246037,13435,NEAR SIDE LINDELL @ SARAH EB,LINDELL @ SARAH EB,0,13435
38.638821,1,,-90.240609,13436,FAR SIDE LINDELL @ VANDEVENTER EB,LINDELL @ VANDEVENTER EB,0,13436
38.637263,1,,-90.232454,13448,NEAR SIDE LINDELL @ GRAND WB,LINDELL @ GRAND WB,0,13448
38.706824,1,,-90.25962,3238,NEAR SIDE GOODFELLOW @ LUCILLE SB,GOODFELLOW @ LUCILLE SB,0,3238
38.676223,1,,-90.236984,6334,NEAR SIDE LEE @ TAYLOR EB,LEE @ TAYLOR EB,0,6334
38.620391,2,,-90.040432,11698,FAR SIDE ILLINOIS ROUTE 157 @ BUNKUM SB,ILLINOIS ROUTE 157 @ BUNKUM SB,0,11698
38.617306,2,,-90.043404,11699,FAR SIDE ILLINOIS ROUTE 157 @ SASAK PLACE SB,ILLINOIS ROUTE 157 @ SASAK PLACE SB,0,11699
38.625747,2,,-90.034715,11696,FAR SIDE 89TH STREET @ PARKDALE SB,89TH STREET @ PARKDALE SB,0,11696
38.690645,2,,-90.382578,2577,FAR SIDE PAGE @ LOTSIE EB,PAGE @ LOTSIE EB,0,2577
38.691643,2,,-90.391466,2574,FAR SIDE PAGE @ ASHBY EB,PAGE @ ASHBY EB,0,2574
38.633914,2,,-90.027978,11695,NEAR SIDE MAIN @ LINCOLN NB,MAIN @ LINCOLN NB,0,11695
38.693062,2,,-90.400956,2572,FAR SIDE PAGE @ GALT INDUSTRIAL EB,PAGE @ GALT INDUSTRIAL EB,0,2572
38.691983,2,,-90.395124,2573,FAR SIDE PAGE @ WARSON EB,PAGE @ WARSON EB,0,2573
38.695073,2,,-90.403833,2571,NEAR SIDE PAGE @ RUCKERT EB,PAGE @ RUCKERT EB,0,2571
38.544238,2,,-90.050442,11458,NEAR SIDE ILLINOIS ROUTE 13 @ HILLSIDE EB,ILLINOIS ROUTE 13 @ HILLSIDE EB,0,11458
38.541892,2,,-90.047833,11459,FAR SIDE ILLINOIS ROUTE 13 @ NORTH BELT WEST EB,ILLINOIS ROUTE 13 @ NORTH BELT WEST EB,0,11459
38.61205,2,,-90.341142,4973_merged_3090836,FAR SIDE MANCHESTER @ CECELIA WB,MANCHESTER @ CECELIA WB,0,4973
38.519416,2,,-89.934499,15912,FAR SIDE CARLYLE @ COLLEGE PLAZA EB,CARLYLE @ COLLEGE PLAZA EB,0,15912
38.67872,2,,-90.249958,2374,NEAR SIDE KINGSHIGHWAY @ MARGARETTA NB,KINGSHIGHWAY @ MARGARETTA NB,0,2374
38.680867,2,,-90.248448,2376,FAR SIDE KINGSHIGHWAY @ LEE NB,KINGSHIGHWAY @ LEE NB,0,2376
38.544007,2,,-90.051344,11457,NEAR SIDE WESTFIELD PLAZA @ WESTFIELD PLAZA EB,WESTFIELD PLAZA @ WESTFIELD PLAZA EB,0,11457
38.674555,1,,-90.252883,2370,NEAR SIDE KINGSHIGHWAY @ LEXINGTON NB,KINGSHIGHWAY @ LEXINGTON NB,0,2370
38.67604,1,,-90.251873,2371,NEAR SIDE KINGSHIGHWAY @ NATURAL BRIDGE NB,KINGSHIGHWAY @ NATURAL BRIDGE NB,0,2371
